1,1,21
2,2,1
3,2,33
4,3,2
5,3,4
6,4,1
7,5,4
8,5,31
9,6,5
10,7,6
11,8,7
12,9,8
13,9,30
14,10,7
15,10,11
16,10,22
17,11,23
18,12,7
19,13,12
20,13,24
21,14,13
22,14,25
23,15,7
24,15,14
25,16,27
26,16,29
27,17,16
28,18,8
29,18,17
30,19,17
31,20,17
32,20,19
33,20,26
34,28,29
35,30,29
36,31,30
37,32,31
38,33,32
39,33,36
40,34,33
41,35,32
42,35,34
43,37,29
44,38,37
45,39,37
46,40,37
47,40,41
48,42,41
49,43,37
50,44,40
51,44,43
52,45,41
53,45,44
54,46,45
55,47,46
56,48,44
57,48,47
58,48,100
59,49,46
60,49,48
61,50,43
62,50,43
63,51,45
64,51,50
65,52,50
66,53,51
67,53,52
68,54,52
69,54,55
70,55,53
71,56,54
72,56,57
73,57,55
74,58,56
75,58,59
76,59,55
77,59,57
78,60,58
79,60,61
80,61,59
81,62,54
82,62,58
83,63,62
84,64,63
85,65,53
86,65,64
87,67,63
88,67,66
89,68,64
90,68,67
91,69,38
92,69,66
93,70,67
94,71,45
95,71,68
96,71,69
97,71,70
98,72,51
99,72,71
100,73,35
101,73,39
102,73,39
103,74,73
104,74,73
105,75,76
106,77,74
107,77,76
108,78,74
109,78,74
110,79,78
111,80,78
112,81,78
113,82,78
114,83,112
115,83,113
116,84,83
117,85,86
118,85,105
119,85,105
120,85,112
121,85,112
122,87,85
123,88,85
124,88,85
125,88,105
126,88,105
127,89,88
128,89,105
129,89,113
130,90,89
131,91,110
132,92,91
133,93,91
134,94,93
135,94,111
136,95,91
137,95,93
138,96,95
139,97,92
140,97,96
141,98,91
142,99,98
143,100,99
144,101,102
145,101,103
146,102,54
147,103,54
148,104,101
149,105,101
150,106,104
151,106,105
152,107,101
153,107,105
154,108,101
155,109,101
156,110,101
157,110,104
158,110,107
159,110,108
160,110,109
161,111,105
162,111,108
163,111,109
164,112,105
165,113,105
166,113,112
167,114,90
168,115,87
169,116,84
170,116,115
171,117,114
172,117,115
173,117,116
174,118,115
175,118,116
176,118,117
177,119,114
178,119,115
179,119,117
180,120,116
181,120,117
182,120,118
183,120,119
184,121,114
185,121,115
186,121,116
187,121,117
188,121,118
189,121,119
190,122,116
191,122,117
192,122,118
193,122,121
194,123,118
195,124,75
196,125,81
197,125,124
198,126,124
199,126,125
200,127,124
201,127,126
202,128,124
203,128,125
204,128,126
205,128,127
206,129,128
207,130,128
208,130,129
209,131,130
210,132,127
211,132,130
212,133,131
213,133,132
214,134,66
215,134,132
216,135,115
217,135,122
218,135,131
219,135,132
220,135,133
221,135,134
222,136,134
223,137,136
224,138,67
225,138,126
226,138,132
227,138,137
228,139,115
229,139,122
230,139,131
231,139,135
232,139,136
233,140,60
